id,segment,sequence
1_1_0.mat,0,1.0
1_2_0.mat,0,2.0
1_3_0.mat,0,3.0
1_4_0.mat,0,4.0
1_5_0.mat,0,5.0
1_6_0.mat,0,6.0
1_7_0.mat,1,1.0
1_8_0.mat,1,2.0
1_9_0.mat,1,3.0
1_10_0.mat,1,4.0
1_11_0.mat,1,5.0
1_12_0.mat,1,6.0
1_13_0.mat,2,1.0
1_14_0.mat,2,2.0
1_15_0.mat,2,3.0
1_16_0.mat,2,4.0
1_17_0.mat,2,5.0
1_18_0.mat,2,6.0
1_19_0.mat,3,1.0
1_20_0.mat,3,2.0
1_21_0.mat,3,3.0
1_22_0.mat,3,4.0
1_23_0.mat,3,5.0
1_24_0.mat,3,6.0
1_25_0.mat,4,1.0
1_26_0.mat,4,2.0
1_27_0.mat,4,3.0
1_28_0.mat,4,4.0
1_29_0.mat,4,5.0
1_30_0.mat,4,6.0
1_31_0.mat,5,1.0
1_32_0.mat,5,2.0
1_33_0.mat,5,3.0
1_34_0.mat,5,4.0
1_35_0.mat,5,5.0
1_36_0.mat,5,6.0
1_37_0.mat,6,1.0
1_38_0.mat,6,2.0
1_39_0.mat,6,3.0
1_40_0.mat,6,4.0
1_41_0.mat,6,5.0
1_42_0.mat,6,6.0
1_43_0.mat,7,1.0
1_44_0.mat,7,2.0
1_45_0.mat,7,3.0
1_46_0.mat,7,4.0
1_47_0.mat,7,5.0
1_48_0.mat,7,6.0
1_49_0.mat,8,1.0
1_50_0.mat,8,2.0
1_51_0.mat,8,3.0
1_52_0.mat,8,4.0
1_53_0.mat,8,5.0
1_54_0.mat,8,6.0
1_55_0.mat,9,1.0
1_56_0.mat,9,2.0
1_57_0.mat,9,3.0
1_58_0.mat,9,4.0
1_59_0.mat,9,5.0
1_60_0.mat,9,6.0
1_61_0.mat,10,1.0
1_62_0.mat,10,2.0
1_63_0.mat,10,3.0
1_64_0.mat,10,4.0
1_65_0.mat,10,5.0
1_66_0.mat,10,6.0
1_67_0.mat,11,1.0
1_68_0.mat,11,2.0
1_69_0.mat,11,3.0
1_70_0.mat,11,4.0
1_71_0.mat,11,5.0
1_72_0.mat,11,6.0
1_73_0.mat,12,1.0
1_74_0.mat,12,2.0
1_75_0.mat,12,3.0
1_76_0.mat,12,4.0
1_77_0.mat,12,5.0
1_78_0.mat,12,6.0
1_79_0.mat,13,1.0
1_80_0.mat,13,2.0
1_81_0.mat,13,3.0
1_82_0.mat,13,4.0
1_83_0.mat,13,5.0
1_84_0.mat,13,6.0
1_85_0.mat,14,1.0
1_86_0.mat,14,2.0
1_87_0.mat,14,3.0
1_88_0.mat,14,4.0
1_89_0.mat,14,5.0
1_90_0.mat,14,6.0
1_91_0.mat,15,1.0
1_92_0.mat,15,2.0
1_93_0.mat,15,3.0
1_94_0.mat,15,4.0
1_95_0.mat,15,5.0
1_96_0.mat,15,6.0
1_97_0.mat,16,1.0
1_98_0.mat,16,2.0
1_99_0.mat,16,3.0
1_100_0.mat,16,4.0
1_101_0.mat,16,5.0
1_102_0.mat,16,6.0
1_103_0.mat,17,1.0
1_104_0.mat,17,2.0
1_105_0.mat,17,3.0
1_106_0.mat,17,4.0
1_107_0.mat,17,5.0
1_108_0.mat,17,6.0
1_109_0.mat,18,1.0
1_110_0.mat,18,2.0
1_111_0.mat,18,3.0
1_112_0.mat,18,4.0
1_113_0.mat,18,5.0
1_114_0.mat,18,6.0
1_115_0.mat,19,1.0
1_116_0.mat,19,2.0
1_117_0.mat,19,3.0
1_118_0.mat,19,4.0
1_119_0.mat,19,5.0
1_120_0.mat,19,6.0
1_121_0.mat,20,1.0
1_122_0.mat,20,2.0
1_123_0.mat,20,3.0
1_124_0.mat,20,4.0
1_125_0.mat,20,5.0
1_126_0.mat,20,6.0
1_127_0.mat,21,1.0
1_128_0.mat,21,2.0
1_129_0.mat,21,3.0
1_130_0.mat,21,4.0
1_131_0.mat,21,5.0
1_132_0.mat,21,6.0
1_133_0.mat,22,1.0
1_134_0.mat,22,2.0
1_135_0.mat,22,3.0
1_136_0.mat,22,4.0
1_137_0.mat,22,5.0
1_138_0.mat,22,6.0
1_139_0.mat,23,1.0
1_140_0.mat,23,2.0
1_141_0.mat,23,3.0
1_142_0.mat,23,4.0
1_143_0.mat,23,5.0
1_144_0.mat,23,6.0
1_145_0.mat,24,1.0
1_146_0.mat,24,2.0
1_147_0.mat,24,3.0
1_148_0.mat,24,4.0
1_149_0.mat,24,5.0
1_150_0.mat,24,6.0
1_151_0.mat,25,1.0
1_152_0.mat,25,2.0
1_153_0.mat,25,3.0
1_154_0.mat,25,4.0
1_155_0.mat,25,5.0
1_156_0.mat,25,6.0
1_157_0.mat,26,1.0
1_158_0.mat,26,2.0
1_159_0.mat,26,3.0
1_160_0.mat,26,4.0
1_161_0.mat,26,5.0
1_162_0.mat,26,6.0
1_163_0.mat,27,1.0
1_164_0.mat,27,2.0
1_165_0.mat,27,3.0
1_166_0.mat,27,4.0
1_167_0.mat,27,5.0
1_168_0.mat,27,6.0
1_169_0.mat,28,1.0
1_170_0.mat,28,2.0
1_171_0.mat,28,3.0
1_172_0.mat,28,4.0
1_173_0.mat,28,5.0
1_174_0.mat,28,6.0
1_175_0.mat,29,1.0
1_176_0.mat,29,2.0
1_177_0.mat,29,3.0
1_178_0.mat,29,4.0
1_179_0.mat,29,5.0
1_180_0.mat,29,6.0
1_181_0.mat,30,1.0
1_182_0.mat,30,2.0
1_183_0.mat,30,3.0
1_184_0.mat,30,4.0
1_185_0.mat,30,5.0
1_186_0.mat,30,6.0
1_187_0.mat,31,1.0
